Nest,FirstFound,LastPresent,LastChecked,Fate,Freq,Init,AgeDay1,Year,Site,Win_Hi,Win_Lo,Spr_Hi,Spr_Lo,wxt,sxt,wxw,sxw
TLM075,13,33,33,0,1,155,-10,1995,kig,79,37,7,0,13,5,9,1
TLM076,13,29,29,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
TLM078,15,25,25,0,1,138,7,1995,kig,79,37,7,0,13,5,9,1
TLM081,17,31,31,0,1,153,-8,1995,kig,79,37,7,0,13,5,9,1
TLM084,17,28,28,0,1,150,-5,1995,kig,79,37,7,0,13,5,9,1
TLM089,19,32,32,0,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
TLM090,19,36,36,0,1,155,-10,1995,kig,79,37,7,0,13,5,9,1
TLM091,19,27,27,0,1,142,3,1995,kig,79,37,7,0,13,5,9,1
TLM094,22,26,26,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM096,25,34,34,0,1,151,-6,1995,kig,79,37,7,0,13,5,9,1
TLM098,26,34,34,0,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
MRB017,6,16,22,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
MRB022,7,7,17,1,1,149,-4,1995,kig,79,37,7,0,13,5,9,1
MRB027,9,19,25,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
MRB031,9,19,25,1,1,135,10,1995,kig,79,37,7,0,13,5,9,1
MRB032,9,9,19,1,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
MRB037,10,20,30,1,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
MRB039,10,10,20,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
MRB056,15,31,33,1,1,151,-6,1995,kig,79,37,7,0,13,5,9,1
MRB060,16,26,32,1,1,155,-10,1995,kig,79,37,7,0,13,5,9,1
MRB062,19,25,28,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
MRB064,20,30,32,1,1,153,-8,1995,kig,79,37,7,0,13,5,9,1
TLM016,2,12,22,1,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM017,3,22,23,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM019,3,13,23,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM028,5,15,25,1,1,147,-2,1995,kig,79,37,7,0,13,5,9,1
TLM032,6,6,16,1,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM034,8,8,18,1,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
TLM066,11,11,21,1,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM074,13,13,23,1,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
TLM079,16,16,26,1,1,158,-13,1995,kig,79,37,7,0,13,5,9,1
TLM080,17,36,38,1,1,156,-11,1995,kig,79,37,7,0,13,5,9,1
TLM082,17,17,27,1,1,156,-11,1995,kig,79,37,7,0,13,5,9,1
TLM092,19,19,29,1,1,158,-13,1995,kig,79,37,7,0,13,5,9,1
TLM097,25,25,31,1,1,151,-6,1995,kig,79,37,7,0,13,5,9,1
MRB029,9,19,19,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM093,22,35,35,0,1,164,-19,1995,kig,79,37,7,0,13,5,9,1
TLM099,27,42,42,0,1,163,-18,1995,kig,79,37,7,0,13,5,9,1
EFS001,5,27,27,0,1,134,1,1996,kig,55,53,5,2,6,2,8,3
EFS004,7,27,27,0,1,136,-1,1996,kig,55,53,5,2,6,2,8,3
EFS005,8,29,29,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
EFS007,8,29,29,0,1,137,-2,1996,kig,55,53,5,2,6,2,8,3
EFS010,10,34,34,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
EFS011,10,32,32,0,1,138,-3,1996,kig,55,53,5,2,6,2,8,3
EFS013,12,33,33,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
EFS015,12,33,33,0,1,141,-6,1996,kig,55,53,5,2,6,2,8,3
EFS020,13,33,33,0,1,142,-7,1996,kig,55,53,5,2,6,2,8,3
EFS023,13,36,36,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
EFS024,13,36,36,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
EFS025,13,30,30,0,1,138,-3,1996,kig,55,53,5,2,6,2,8,3
EFS027,13,33,33,0,1,142,-7,1996,kig,55,53,5,2,6,2,8,3
EFS028,13,36,36,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
EFS029,13,33,33,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
EFS032,14,35,35,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
EFS035,14,35,35,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
EFS036,14,32,32,0,1,137,-2,1996,kig,55,53,5,2,6,2,8,3
EFS038,16,32,32,0,1,137,-2,1996,kig,55,53,5,2,6,2,8,3
EFS040,17,34,34,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
EFS042,17,37,37,0,1,142,-7,1996,kig,55,53,5,2,6,2,8,3
EFS046,17,38,38,0,1,148,-13,1996,kig,55,53,5,2,6,2,8,3
EFS049,17,33,33,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
EFS051,18,39,39,0,1,150,-15,1996,kig,55,53,5,2,6,2,8,3
EFS052,18,34,34,0,1,141,-6,1996,kig,55,53,5,2,6,2,8,3
EFS053,18,34,34,0,1,141,-6,1996,kig,55,53,5,2,6,2,8,3
EFS054,18,28,28,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
EFS058,20,41,41,0,1,151,-16,1996,kig,55,53,5,2,6,2,8,3
EFS060,20,35,35,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
EFS062,22,37,37,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
EFS066,23,36,36,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
EFS068,24,40,40,0,1,150,-15,1996,kig,55,53,5,2,6,2,8,3
EFS070,25,28,28,0,1,138,-3,1996,kig,55,53,5,2,6,2,8,3
EFS071,25,28,28,0,1,138,-3,1996,kig,55,53,5,2,6,2,8,3
EFS072,27,39,39,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
EFS073,27,30,30,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
EFS074,27,32,32,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
TLM001,1,28,28,0,1,133,2,1996,kig,55,53,5,2,6,2,8,3
TLM002,5,28,28,0,1,137,-2,1996,kig,55,53,5,2,6,2,8,3
TLM003,7,28,28,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM004,7,30,30,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM005,7,28,28,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM006,7,30,30,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM007,7,27,27,0,1,136,-1,1996,kig,55,53,5,2,6,2,8,3
TLM008,7,30,30,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM009,7,32,32,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM011,8,29,29,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
TLM013,8,30,30,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
TLM014,8,29,29,0,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
TLM017,9,35,35,0,1,141,-6,1996,kig,55,53,5,2,6,2,8,3
TLM020,10,32,32,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM024,11,34,34,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM025,11,33,33,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM028,11,33,33,0,1,142,-7,1996,kig,55,53,5,2,6,2,8,3
TLM030,11,34,34,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM037,13,35,35,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM040,13,35,35,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
TLM048,14,38,38,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM049,14,38,38,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
TLM050,16,34,34,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM051,16,35,35,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM052,16,35,35,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
TLM053,16,38,38,0,1,148,-13,1996,kig,55,53,5,2,6,2,8,3
TLM054,16,32,32,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM056,17,32,32,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM058,17,32,32,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM060,17,40,40,0,1,149,-14,1996,kig,55,53,5,2,6,2,8,3
TLM063,17,37,37,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
TLM067,18,33,33,0,1,141,-6,1996,kig,55,53,5,2,6,2,8,3
TLM069,18,31,31,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
TLM070,18,32,32,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM072,19,35,35,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM073,19,30,30,0,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM075,19,39,39,0,1,148,-13,1996,kig,55,53,5,2,6,2,8,3
TLM080,20,41,41,0,1,149,-14,1996,kig,55,53,5,2,6,2,8,3
TLM082,20,35,35,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM083,20,41,41,0,1,149,-14,1996,kig,55,53,5,2,6,2,8,3
TLM084,20,41,41,0,1,152,-17,1996,kig,55,53,5,2,6,2,8,3
TLM085,21,38,38,0,1,147,-12,1996,kig,55,53,5,2,6,2,8,3
TLM086,21,34,34,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
TLM087,21,39,39,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
TLM088,21,41,41,0,1,147,-12,1996,kig,55,53,5,2,6,2,8,3
TLM089,21,39,39,0,1,150,-15,1996,kig,55,53,5,2,6,2,8,3
TLM094,23,41,41,0,1,155,-20,1996,kig,55,53,5,2,6,2,8,3
TLM095,23,39,39,0,1,146,-11,1996,kig,55,53,5,2,6,2,8,3
TLM096,24,42,42,0,1,153,-18,1996,kig,55,53,5,2,6,2,8,3
TLM097,24,41,41,0,1,150,-15,1996,kig,55,53,5,2,6,2,8,3
TLM098,24,39,39,0,1,147,-12,1996,kig,55,53,5,2,6,2,8,3
TLM099,24,44,44,0,1,155,-20,1996,kig,55,53,5,2,6,2,8,3
TLM100,25,37,37,0,1,144,-9,1996,kig,55,53,5,2,6,2,8,3
TLM103,26,42,42,0,1,149,-14,1996,kig,55,53,5,2,6,2,8,3
TLM104,26,32,32,0,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM107,28,40,40,0,1,147,-12,1996,kig,55,53,5,2,6,2,8,3
TLM108,28,44,44,0,1,151,-16,1996,kig,55,53,5,2,6,2,8,3
TLM109,28,43,43,0,1,151,-16,1996,kig,55,53,5,2,6,2,8,3
TLM110,30,35,35,0,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
EFS003,7,7,17,1,1,136,-1,1996,kig,55,53,5,2,6,2,8,3
EFS008,9,29,35,1,1,138,-3,1996,kig,55,53,5,2,6,2,8,3
EFS018,12,26,29,1,1,135,0,1996,kig,55,53,5,2,6,2,8,3
EFS022,13,31,33,1,1,142,-7,1996,kig,55,53,5,2,6,2,8,3
EFS034,14,24,28,1,1,137,-2,1996,kig,55,53,5,2,6,2,8,3
EFS039,17,17,27,1,1,149,-14,1996,kig,55,53,5,2,6,2,8,3
EFS041,17,17,27,1,1,149,-14,1996,kig,55,53,5,2,6,2,8,3
EFS069,24,24,33,1,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM010,8,8,18,1,1,140,-5,1996,kig,55,53,5,2,6,2,8,3
TLM019,10,32,35,1,1,142,-7,1996,kig,55,53,5,2,6,2,8,3
TLM026,11,11,21,1,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM027,11,21,30,1,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM029,11,11,21,1,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM055,16,16,26,1,1,139,-4,1996,kig,55,53,5,2,6,2,8,3
TLM057,17,30,33,1,1,143,-8,1996,kig,55,53,5,2,6,2,8,3
TLM102,26,35,37,1,1,145,-10,1996,kig,55,53,5,2,6,2,8,3
TLM074,19,39,39,0,1,148,-13,1996,kig,55,53,5,2,6,2,8,3
TLM115,46,49,49,0,1,159,-24,1996,kig,55,53,5,2,6,2,8,3
EFS001,1,31,31,0,1,135,5,1997,kig,39,64,13,1,5,1,6,0
EFS004,1,21,21,0,1,135,5,1997,kig,39,64,13,1,5,1,6,0
EFS013,3,23,23,0,1,137,3,1997,kig,39,64,13,1,5,1,6,0
EFS018,4,21,21,0,1,135,5,1997,kig,39,64,13,1,5,1,6,0
EFS022,5,27,27,0,1,136,4,1997,kig,39,64,13,1,5,1,6,0
EFS025,6,21,21,0,1,134,6,1997,kig,39,64,13,1,5,1,6,0
EFS026,6,29,29,0,1,143,-3,1997,kig,39,64,13,1,5,1,6,0
EFS028,6,24,24,0,1,137,3,1997,kig,39,64,13,1,5,1,6,0
EFS029,8,30,30,0,1,145,-5,1997,kig,39,64,13,1,5,1,6,0
EFS030,8,30,30,0,1,142,-2,1997,kig,39,64,13,1,5,1,6,0
EFS032,8,26,26,0,1,139,1,1997,kig,39,64,13,1,5,1,6,0
EFS033,9,25,25,0,1,137,3,1997,kig,39,64,13,1,5,1,6,0
EFS034,10,26,26,0,1,138,2,1997,kig,39,64,13,1,5,1,6,0
EFS035,10,30,30,0,1,141,-1,1997,kig,39,64,13,1,5,1,6,0
EFS037,10,34,34,0,1,147,-7,1997,kig,39,64,13,1,5,1,6,0
EFS038,10,33,33,0,1,147,-7,1997,kig,39,64,13,1,5,1,6,0
EFS042,11,30,30,0,1,139,1,1997,kig,39,64,13,1,5,1,6,0
EFS048,14,36,36,0,1,148,-8,1997,kig,39,64,13,1,5,1,6,0
EFS050,14,34,34,0,1,148,-8,1997,kig,39,64,13,1,5,1,6,0
EFS052,15,25,25,0,1,136,4,1997,kig,39,64,13,1,5,1,6,0
EFS056,18,35,35,0,1,146,-6,1997,kig,39,64,13,1,5,1,6,0
EFS061,27,36,36,0,1,151,-11,1997,kig,39,64,13,1,5,1,6,0
GJH004,1,23,23,0,1,135,5,1997,kig,39,64,13,1,5,1,6,0
GJH015,4,27,27,0,1,138,2,1997,kig,39,64,13,1,5,1,6,0
GJH016,4,21,21,0,1,135,5,1997,kig,39,64,13,1,5,1,6,0
GJH022,5,22,22,0,1,139,1,1997,kig,39,64,13,1,5,1,6,0
GJH026,6,26,26,0,1,134,6,1997,kig,39,64,13,1,5,1,6,0
GJH027,6,22,22,0,1,134,6,1997,kig,39,64,13,1,5,1,6,0
GJH028,8,32,32,0,1,142,-2,1997,kig,39,64,13,1,5,1,6,0
GJH029,8,22,22,0,1,136,4,1997,kig,39,64,13,1,5,1,6,0
GJH030,8,30,30,0,1,142,-2,1997,kig,39,64,13,1,5,1,6,0
GJH031,8,21,21,0,1,136,4,1997,kig,39,64,13,1,5,1,6,0
GJH034,10,27,27,0,1,141,-1,1997,kig,39,64,13,1,5,1,6,0
GJH035,10,30,30,0,1,144,-4,1997,kig,39,64,13,1,5,1,6,0
GJH037,10,34,34,0,1,144,-4,1997,kig,39,64,13,1,5,1,6,0
GJH040,11,27,27,0,1,142,-2,1997,kig,39,64,13,1,5,1,6,0
GJH043,11,27,27,0,1,139,1,1997,kig,39,64,13,1,5,1,6,0
GJH047,12,31,31,0,1,143,-3,1997,kig,39,64,13,1,5,1,6,0
GJH048,12,33,33,0,1,146,-6,1997,kig,39,64,13,1,5,1,6,0
GJH049,14,29,29,0,1,142,-2,1997,kig,39,64,13,1,5,1,6,0
GJH051,14,23,23,0,1,132,8,1997,kig,39,64,13,1,5,1,6,0
GJH052,15,33,33,0,1,146,-6,1997,kig,39,64,13,1,5,1,6,0
