"","Nest","FirstFound","LastPresent","LastChecked","Fate","Freq","Init","AgeDay1","Year","Site","Win_Hi","Win_Lo","Spr_Hi","Spr_Lo","wxt","sxt","wxw","sxw","fox"
"101","MRB053",15,36,36,0,1,157,-12,1995,"kig",79,37,7,0,13,5,9,1,0.44
"102","MRB054",15,32,32,0,1,151,-6,1995,"kig",79,37,7,0,13,5,9,1,0.44
"103","MRB055",15,33,33,0,1,154,-9,1995,"kig",79,37,7,0,13,5,9,1,0.44
"104","MRB061",19,30,30,0,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"105","MRB063",20,34,34,0,1,153,-8,1995,"kig",79,37,7,0,13,5,9,1,0.44
"106","MRB065",23,31,31,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"107","MRB067",24,28,28,0,1,147,-2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"108","MRB071",32,36,36,0,1,155,-10,1995,"kig",79,37,7,0,13,5,9,1,0.44
"109","TLM007",1,24,24,0,1,143,2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"110","TLM018",3,24,24,0,1,142,3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"111","TLM026",5,27,27,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"112","TLM029",5,21,21,0,1,141,4,1995,"kig",79,37,7,0,13,5,9,1,0.44
"113","TLM030",6,26,26,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"114","TLM031",6,19,19,0,1,142,3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"115","TLM039",8,23,23,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"116","TLM040",8,27,27,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"117","TLM043",9,23,23,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"118","TLM044",9,24,24,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"119","TLM045",9,27,27,0,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"120","TLM046",9,26,26,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"121","TLM048",9,26,26,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"122","TLM051",9,26,26,0,1,147,-2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"123","TLM052",9,25,25,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"124","TLM056",10,31,31,0,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"125","TLM057",10,26,26,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"126","TLM058",10,21,21,0,1,139,6,1995,"kig",79,37,7,0,13,5,9,1,0.44
"127","TLM059",10,30,30,0,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"128","TLM060",10,24,24,0,1,143,2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"129","TLM061",10,25,25,0,1,143,2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"130","TLM062",11,35,35,0,1,153,-8,1995,"kig",79,37,7,0,13,5,9,1,0.44
"131","TLM064",11,25,25,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"132","TLM065",11,30,30,0,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"133","TLM067",11,31,31,0,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"134","TLM069",11,28,28,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"135","TLM071",12,28,28,0,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"136","TLM072",12,32,32,0,1,154,-9,1995,"kig",79,37,7,0,13,5,9,1,0.44
"137","TLM073",13,33,33,0,1,155,-10,1995,"kig",79,37,7,0,13,5,9,1,0.44
"138","TLM075",13,33,33,0,1,155,-10,1995,"kig",79,37,7,0,13,5,9,1,0.44
"139","TLM076",13,29,29,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"140","TLM078",15,25,25,0,1,138,7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"141","TLM081",17,31,31,0,1,153,-8,1995,"kig",79,37,7,0,13,5,9,1,0.44
"142","TLM084",17,28,28,0,1,150,-5,1995,"kig",79,37,7,0,13,5,9,1,0.44
"143","TLM089",19,32,32,0,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"144","TLM090",19,36,36,0,1,155,-10,1995,"kig",79,37,7,0,13,5,9,1,0.44
"145","TLM091",19,27,27,0,1,142,3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"146","TLM094",22,26,26,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"147","TLM096",25,34,34,0,1,151,-6,1995,"kig",79,37,7,0,13,5,9,1,0.44
"148","TLM098",26,34,34,0,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"149","MRB017",6,16,22,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"150","MRB022",7,7,17,1,1,149,-4,1995,"kig",79,37,7,0,13,5,9,1,0.44
"151","MRB027",9,19,25,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"152","MRB031",9,19,25,1,1,135,10,1995,"kig",79,37,7,0,13,5,9,1,0.44
"153","MRB032",9,9,19,1,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"154","MRB037",10,20,30,1,1,152,-7,1995,"kig",79,37,7,0,13,5,9,1,0.44
"155","MRB039",10,10,20,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"156","MRB056",15,31,33,1,1,151,-6,1995,"kig",79,37,7,0,13,5,9,1,0.44
"157","MRB060",16,26,32,1,1,155,-10,1995,"kig",79,37,7,0,13,5,9,1,0.44
"158","MRB062",19,25,28,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"159","MRB064",20,30,32,1,1,153,-8,1995,"kig",79,37,7,0,13,5,9,1,0.44
"160","TLM016",2,12,22,1,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"161","TLM017",3,22,23,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"162","TLM019",3,13,23,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"163","TLM028",5,15,25,1,1,147,-2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"164","TLM032",6,6,16,1,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"165","TLM034",8,8,18,1,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"166","TLM066",11,11,21,1,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"167","TLM074",13,13,23,1,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"168","TLM079",16,16,26,1,1,158,-13,1995,"kig",79,37,7,0,13,5,9,1,0.44
"169","TLM080",17,36,38,1,1,156,-11,1995,"kig",79,37,7,0,13,5,9,1,0.44
"170","TLM082",17,17,27,1,1,156,-11,1995,"kig",79,37,7,0,13,5,9,1,0.44
"171","TLM092",19,19,29,1,1,158,-13,1995,"kig",79,37,7,0,13,5,9,1,0.44
"172","TLM097",25,25,31,1,1,151,-6,1995,"kig",79,37,7,0,13,5,9,1,0.44
"173","MRB029",9,19,19,0,1,145,0,1995,"kig",79,37,7,0,13,5,9,1,0.44
"174","TLM093",22,35,35,0,1,164,-19,1995,"kig",79,37,7,0,13,5,9,1,0.44
"175","TLM099",27,42,42,0,1,163,-18,1995,"kig",79,37,7,0,13,5,9,1,0.44
"176","EFS001",5,27,27,0,1,134,1,1996,"kig",55,53,5,2,6,2,8,3,0.45
"177","EFS004",7,27,27,0,1,136,-1,1996,"kig",55,53,5,2,6,2,8,3,0.45
"178","EFS005",8,29,29,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"179","EFS007",8,29,29,0,1,137,-2,1996,"kig",55,53,5,2,6,2,8,3,0.45
"180","EFS010",10,34,34,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"181","EFS011",10,32,32,0,1,138,-3,1996,"kig",55,53,5,2,6,2,8,3,0.45
"182","EFS013",12,33,33,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"183","EFS015",12,33,33,0,1,141,-6,1996,"kig",55,53,5,2,6,2,8,3,0.45
"184","EFS020",13,33,33,0,1,142,-7,1996,"kig",55,53,5,2,6,2,8,3,0.45
"185","EFS023",13,36,36,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"186","EFS024",13,36,36,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"187","EFS025",13,30,30,0,1,138,-3,1996,"kig",55,53,5,2,6,2,8,3,0.45
"188","EFS027",13,33,33,0,1,142,-7,1996,"kig",55,53,5,2,6,2,8,3,0.45
"189","EFS028",13,36,36,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"190","EFS029",13,33,33,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"191","EFS032",14,35,35,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"192","EFS035",14,35,35,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"193","EFS036",14,32,32,0,1,137,-2,1996,"kig",55,53,5,2,6,2,8,3,0.45
"194","EFS038",16,32,32,0,1,137,-2,1996,"kig",55,53,5,2,6,2,8,3,0.45
"195","EFS040",17,34,34,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"196","EFS042",17,37,37,0,1,142,-7,1996,"kig",55,53,5,2,6,2,8,3,0.45
"197","EFS046",17,38,38,0,1,148,-13,1996,"kig",55,53,5,2,6,2,8,3,0.45
"198","EFS049",17,33,33,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"199","EFS051",18,39,39,0,1,150,-15,1996,"kig",55,53,5,2,6,2,8,3,0.45
"200","EFS052",18,34,34,0,1,141,-6,1996,"kig",55,53,5,2,6,2,8,3,0.45
"201","EFS053",18,34,34,0,1,141,-6,1996,"kig",55,53,5,2,6,2,8,3,0.45
"202","EFS054",18,28,28,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"203","EFS058",20,41,41,0,1,151,-16,1996,"kig",55,53,5,2,6,2,8,3,0.45
"204","EFS060",20,35,35,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"205","EFS062",22,37,37,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"206","EFS066",23,36,36,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"207","EFS068",24,40,40,0,1,150,-15,1996,"kig",55,53,5,2,6,2,8,3,0.45
"208","EFS070",25,28,28,0,1,138,-3,1996,"kig",55,53,5,2,6,2,8,3,0.45
"209","EFS071",25,28,28,0,1,138,-3,1996,"kig",55,53,5,2,6,2,8,3,0.45
"210","EFS072",27,39,39,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"211","EFS073",27,30,30,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"212","EFS074",27,32,32,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"213","TLM001",1,28,28,0,1,133,2,1996,"kig",55,53,5,2,6,2,8,3,0.45
"214","TLM002",5,28,28,0,1,137,-2,1996,"kig",55,53,5,2,6,2,8,3,0.45
"215","TLM003",7,28,28,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"216","TLM004",7,30,30,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"217","TLM005",7,28,28,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"218","TLM006",7,30,30,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"219","TLM007",7,27,27,0,1,136,-1,1996,"kig",55,53,5,2,6,2,8,3,0.45
"220","TLM008",7,30,30,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"221","TLM009",7,32,32,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"222","TLM011",8,29,29,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"223","TLM013",8,30,30,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"224","TLM014",8,29,29,0,1,140,-5,1996,"kig",55,53,5,2,6,2,8,3,0.45
"225","TLM017",9,35,35,0,1,141,-6,1996,"kig",55,53,5,2,6,2,8,3,0.45
"226","TLM020",10,32,32,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"227","TLM024",11,34,34,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"228","TLM025",11,33,33,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"229","TLM028",11,33,33,0,1,142,-7,1996,"kig",55,53,5,2,6,2,8,3,0.45
"230","TLM030",11,34,34,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"231","TLM037",13,35,35,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"232","TLM040",13,35,35,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"233","TLM048",14,38,38,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"234","TLM049",14,38,38,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"235","TLM050",16,34,34,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"236","TLM051",16,35,35,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"237","TLM052",16,35,35,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"238","TLM053",16,38,38,0,1,148,-13,1996,"kig",55,53,5,2,6,2,8,3,0.45
"239","TLM054",16,32,32,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"240","TLM056",17,32,32,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"241","TLM058",17,32,32,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"242","TLM060",17,40,40,0,1,149,-14,1996,"kig",55,53,5,2,6,2,8,3,0.45
"243","TLM063",17,37,37,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"244","TLM067",18,33,33,0,1,141,-6,1996,"kig",55,53,5,2,6,2,8,3,0.45
"245","TLM069",18,31,31,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"246","TLM070",18,32,32,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"247","TLM072",19,35,35,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"248","TLM073",19,30,30,0,1,145,-10,1996,"kig",55,53,5,2,6,2,8,3,0.45
"249","TLM075",19,39,39,0,1,148,-13,1996,"kig",55,53,5,2,6,2,8,3,0.45
"250","TLM080",20,41,41,0,1,149,-14,1996,"kig",55,53,5,2,6,2,8,3,0.45
"251","TLM082",20,35,35,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"252","TLM083",20,41,41,0,1,149,-14,1996,"kig",55,53,5,2,6,2,8,3,0.45
"253","TLM084",20,41,41,0,1,152,-17,1996,"kig",55,53,5,2,6,2,8,3,0.45
"254","TLM085",21,38,38,0,1,147,-12,1996,"kig",55,53,5,2,6,2,8,3,0.45
"255","TLM086",21,34,34,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"256","TLM087",21,39,39,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"257","TLM088",21,41,41,0,1,147,-12,1996,"kig",55,53,5,2,6,2,8,3,0.45
"258","TLM089",21,39,39,0,1,150,-15,1996,"kig",55,53,5,2,6,2,8,3,0.45
"259","TLM094",23,41,41,0,1,155,-20,1996,"kig",55,53,5,2,6,2,8,3,0.45
"260","TLM095",23,39,39,0,1,146,-11,1996,"kig",55,53,5,2,6,2,8,3,0.45
"261","TLM096",24,42,42,0,1,153,-18,1996,"kig",55,53,5,2,6,2,8,3,0.45
"262","TLM097",24,41,41,0,1,150,-15,1996,"kig",55,53,5,2,6,2,8,3,0.45
"263","TLM098",24,39,39,0,1,147,-12,1996,"kig",55,53,5,2,6,2,8,3,0.45
"264","TLM099",24,44,44,0,1,155,-20,1996,"kig",55,53,5,2,6,2,8,3,0.45
"265","TLM100",25,37,37,0,1,144,-9,1996,"kig",55,53,5,2,6,2,8,3,0.45
"266","TLM103",26,42,42,0,1,149,-14,1996,"kig",55,53,5,2,6,2,8,3,0.45
"267","TLM104",26,32,32,0,1,139,-4,1996,"kig",55,53,5,2,6,2,8,3,0.45
"268","TLM107",28,40,40,0,1,147,-12,1996,"kig",55,53,5,2,6,2,8,3,0.45
"269","TLM108",28,44,44,0,1,151,-16,1996,"kig",55,53,5,2,6,2,8,3,0.45
"270","TLM109",28,43,43,0,1,151,-16,1996,"kig",55,53,5,2,6,2,8,3,0.45
"271","TLM110",30,35,35,0,1,143,-8,1996,"kig",55,53,5,2,6,2,8,3,0.45
"272","EFS003",7,7,17,1,1,136,-1,1996,"kig",55,53,5,2,6,2,8,3,0.45
"273","EFS008",9,29,35,1,1,138,-3,1996,"kig",55,53,5,2,6,2,8,3,0.45
"274","EFS018",12,26,29,1,1,135,0,1996,"kig",55,53,5,2,6,2,8,3,0.45
"275","EFS022",13,31,33,1,1,142,-7,1996,"kig",55,53,5,2,6,2,8,3,0.45
"276","EFS034",14,24,28,1,1,137,-2,1996,"kig",55,53,5,2,6,2,8,3,0.45
"277","EFS039",17,17,27,1,1,149,-14,1996,"kig",55,53,5,2,6,2,8,3,0.45
